"","x"
"296",9920
"297",4203
"298",5396
"299",5840
"300",5286
"301",7526
"302",10592
"303",4986
"304",8210
"305",2164
"306",4094
"307",918
"308",8276
"309",9525
"310",7842
"311",8263
"312",5376
"313",4266
"314",1038
"315",2395
"316",7931
"317",1990
"318",10498
"319",10157
"320",2918
"321",5037
"322",2125
"323",7851
"324",8819
"325",5040
"326",788
"327",8101
"328",10850
"329",10239
"330",4040
"331",1624
"332",7640
"333",4497
"334",8939
"335",7982
"336",8910
"337",2325
"338",4528
"339",9508
"340",7910
"341",3201
"342",1172
"343",10150
"344",4964
"345",6316
"346",5542
"347",4710
"348",5719
"349",6111
"350",5306
"351",2324
"352",1530
"353",8606
"354",5900
"355",1521
"356",7411
"357",3016
"358",9472
"359",2558
"360",10502
"361",8700
"362",7714
"363",7510
"364",8495
"365",5907
"366",5202
"367",10475
"368",4908
"369",3689
"370",1750
"371",1689
"372",8034
"373",2606
"374",4872
"375",2168
"376",1752
"377",9102
"378",441
"379",4302
"380",29
"381",4130
"382",4429
"383",5882
"384",8310
"385",6533
"386",9089
"387",3755
"388",7671
"389",5614
"390",7505
"391",1531
"392",3329
"393",520
"394",2406
"395",1274
"396",8565
"397",6279
"398",8835
"399",6711
"400",4132
"401",4755
"402",3630
"403",3826
"404",342
"405",6563
"406",1352
"407",5142
"408",2872
"409",9939
"410",1875
"411",4968
"412",4492
"413",8334
"414",1623
"415",9557
"416",5938
"417",4762
"418",5312
"419",781
"420",2220
"421",8352
"422",3716
"423",3066
"424",2305
"425",7514
"426",4192
"427",2367
"428",578
"429",817
"430",7923
"431",4602
"432",7628
"433",10488
"434",9970
"435",5802
"436",10206
"437",10167
"438",8786
"439",3738
"440",10346
"441",5023
"442",10668
"443",5195
"444",4046
"445",9674
"446",10625
"447",10123
"448",5368
"449",10071
"450",1334
"451",10576
"452",4037
"453",1513
"454",2830
"455",8061
"456",6716
"457",5748
"458",7442
"459",7590
"460",8862
"461",6032
"462",8214
"463",7906
"464",9252
"465",8374
"466",4096
"467",2734
"468",9030
"469",10328
"470",8582
"471",8649
"472",8853
"473",4922
"474",7024
"475",4985
"476",3298
"477",2588
"478",170
"479",155
"480",7397
"481",7395
"482",2731
"483",5099
"484",8118
"485",9749
"486",8306
"487",3798
"488",774
"489",8269
"490",7955
"491",232
"492",2842
"493",390
"494",9124
"495",8598
"496",10646
"497",2860
"498",4909
"499",9524
"500",1850
"501",6102
"502",8257
"503",3324
"504",9090
"505",8338
"506",9723
"507",1451
"508",9816
"509",10533
"510",6506
"511",717
"512",464
"513",8344
"514",10746
"515",4154
"516",622
"517",2358
"518",1602
"519",3547
"520",3544
"521",576
"522",10671
"523",10313
"524",8312
"525",8326
"526",2527
"527",1572
"528",2767
"529",3609
"530",3318
"531",7720
"532",1077
"533",10337
"534",7162
"535",8270
"536",6068
"537",2600
"538",3925
"539",7766
"540",970
"541",5996
"542",1618
"543",6156
"544",10318
"545",7232
"546",5065
"547",10311
"548",5271
"549",1394
"550",5148
"551",10361
"552",3348
"553",8548
"554",10608
"555",1688
"556",7790
"557",7150
"558",3500
"559",2887
"560",8706
"561",10039
"562",1465
"563",5655
"564",9213
"565",1986
"566",8446
"567",6918
"568",8692
"569",5935
"570",9839
"571",3593
"572",7023
"573",9598
"574",4117
"575",787
"576",8658
"577",7434
"578",3351
"579",8936
"580",8490
"581",4893
"582",4865
"583",10392
"584",10696
"585",8891
"586",7770
"587",2604
"588",3248
"589",2894
"590",10250
"591",9457
"592",349
"593",1878
"594",2954
"595",7538
"596",8542
"597",56
"598",1420
"599",10504
"600",9119
"601",560
"602",2470
"603",9341
"604",1906
"605",5016
"606",6597
"607",8369
"608",8552
"609",3511
"610",3362
"611",4498
"612",6771
"613",9919
"614",3944
"615",1098
"616",10260
"617",5022
"618",10758
"619",7929
"620",3110
"621",3534
"622",9504
"623",9354
"624",86
"625",5431
"626",2424
"627",4531
"628",5429
"629",5102
"630",4481
"631",6151
"632",7261
"633",283
"634",3132
"635",5582
"636",222
"637",9386
"638",8423
"639",7738
"640",10246
"641",5496
"642",2826
"643",6443
"644",1415
"645",3382
"646",134
"647",2394
"648",7317
"649",9259
"650",796
"651",770
"652",4764
"653",3060
"654",4726
"655",433
"656",6553
"657",2158
"658",6447
"659",2700
"660",8240
"661",6030
"662",9418
"663",3036
"664",4513
"665",4978
"666",6588
"667",2376
"668",8187
"669",4408
"670",6134
"671",10208
"672",5276
"673",4465
"674",626
"675",4099
"676",9890
"677",10725
"678",2820
"679",4876
"680",2285
"681",225
"682",1920
"683",10174
"684",3046
"685",665
"686",6724
"687",9767
"688",8362
"689",8760
"690",2278
"691",1386
"692",9216
"693",6086
"694",6052
"695",786
"696",6938
"697",4648
"698",6990
"699",10158
"700",7268
"701",258
"702",9528
"703",3041
"704",7981
"705",9268
"706",9558
"707",10128
"708",2428
"709",1287
"710",7580
"711",6815
"712",2100
"713",5122
"714",8082
"715",4901
"716",10382
"717",8532
"718",1265
"719",5390
"720",5342
"721",4388
"722",138
"723",8238
"724",10664
"725",3330
"726",3138
"727",3004
"728",7845
"729",9666
"730",2150
"731",5850
"732",6931
"733",358
"734",7180
"735",2286
"736",6481
"737",16
"738",4048
"739",2144
"740",6596
"741",1844
"742",9104
"743",8242
"744",6659
"745",7477
"746",5220
"747",6920
"748",7646
"749",2065
"750",8844
"751",3994
"752",7437
"753",3183
"754",174
"755",246
"756",710
"757",3124
"758",8814
"759",8528
"760",8256
"761",9927
"762",1686
"763",6646
"764",4634
"765",8586
"766",2595
"767",3508
"768",7336
"769",2375
"770",5921
"771",3346
"772",6917
"773",1885
"774",8041
"775",9180
"776",6136
"777",7433
"778",6755
"779",6399
"780",6600
"781",8364
"782",7605
"783",8045
"784",4578
"785",10355
"786",6522
"787",4240
"788",2135
"789",5110
"790",715
"791",2683
"792",7142
"793",1996
"794",5862
"795",7348
"796",7010
"797",4708
"798",10352
"799",7465
"800",6468
"801",5976
"802",592
"803",675
"804",1037
"805",1868
"806",6119
"807",346
"808",7676
"809",4892
"810",6746
"811",9789
"812",5800
"813",2539
"814",7202
"815",930
"816",9843
"817",8950
"818",8555
"819",7498
"820",5502
"821",9719
"822",760
"823",638
"824",1827
"825",768
"826",7594
"827",7016
"828",7102
"829",2099
"830",5814
"831",9289
"832",2170
"833",121
"834",10422
"835",5972
"836",10203
"837",966
"838",3158
"839",10369
"840",10406
"841",422
"842",4874
"843",2571
"844",10267
"845",3054
"846",1762
"847",4798
"848",5973
"849",720
"850",9670
"851",8013
"852",8914
"853",1433
"854",2566
"855",6778
"856",7746
"857",8001
"858",2779
"859",6236
"860",9936
"861",9326
"862",1295
"863",6864
"864",10630
"865",6748
"866",1154
"867",2202
"868",9128
"869",6630
"870",1698
"871",9378
"872",1028
"873",7525
"874",7896
"875",7430
"876",3854
"877",10763
"878",2650
"879",1413
"880",1076
"881",7300
"882",558
"883",8498
"884",8401
"885",2551
"886",9070
"887",9098
"888",6368
"889",2234
"890",5643
"891",8058
"892",1198
"893",256
"894",5152
"895",7735
"896",10016
"897",10673
"898",6916
"899",6704
"900",9309
"901",6882
"902",1376
"903",4212
"904",2258
"905",9918
"906",2952
"907",4725
"908",7731
"909",2956
"910",10712
"911",1074
"912",1271
"913",8618
"914",10714
"915",9621
"916",7466
"917",3917
"918",7072
"919",8815
"920",9052
"921",7803
"922",6202
"923",7724
"924",10110
"925",3182
"926",9745
"927",3911
"928",7458
"929",3005
"930",8688
"931",8394
"932",4460
"933",572
"934",2678
"935",2088
"936",9349
"937",6091
"938",7470
"939",6118
"940",4340
"941",2672
"942",8224
"943",6529
"944",10014
"945",7379
"946",1350
"947",9170
"948",6470
"949",5610
"950",7484
"951",4842
"952",3456
"953",6395
"954",5666
"955",2338
"956",3122
"957",7666
"958",5141
"959",1474
"960",1538
"961",4050
"962",8686
"963",736
"964",3542
"965",734
"966",5360
"967",6040
"968",2804
"969",2951
"970",7611
"971",4330
"972",8366
"973",1201
"974",4487
"975",10517
"976",6572
"977",4118
"978",8454
"979",5247
"980",2452
"981",4418
"982",639
"983",8125
"984",5296
"985",119
"986",3312
"987",9648
"988",9986
"989",8104
"990",5836
"991",6698
"992",2702
"993",10213
"994",8502
"995",7103
"996",6096
"997",10486
"998",5683
"999",7287
"1000",10054
"1001",7854
"1002",9892
"1003",8173
"1004",2980
"1005",10821
"1006",1156
"1007",176
"1008",5214
"1009",2006
"1010",685
"1011",4062
"1012",8444
"1013",9415
"1014",4722
"1015",594
"1016",1884
"1017",3117
"1018",1410
"1019",2314
"1020",6286
"1021",5858
"1022",9462
"1023",6050
"1024",8791
"1025",9658
"1026",1952
"1027",4268
"1028",9638
"1029",7858
"1030",9582
"1031",9642
"1032",3985
"1033",9155
"1034",6772
"1035",4662
"1036",1782
"1037",6784
"1038",7302
"1039",8000
"1040",2298
"1041",9463
"1042",1900
"1043",7435
"1044",6819
"1045",1726
"1046",2460
"1047",4926
"1048",114
"1049",7165
"1050",6676
"1051",7092
"1052",3022
"1053",757
"1054",3704
"1055",6190
"1056",4823
"1057",2570
"1058",9143
"1059",3711
"1060",9122
"1061",9160
"1062",2553
"1063",2060
"1064",7811
"1065",2544
"1066",9998
"1067",3118
"1068",3887
"1069",8507
"1070",3282
"1071",10091
"1072",2914
"1073",9841
"1074",5936
"1075",8360
"1076",5629
"1077",6168
"1078",9593
"1079",5233
"1080",2306
"1081",1072
"1082",1845
"1083",5514
"1084",1741
"1085",6768
"1086",9753
"1087",9372
"1088",1448
"1089",3663
"1090",5365
"1091",6789
"1092",6758
"1093",2967
"1094",9412
"1095",9402
"1096",8025
"1097",7158
"1098",4854
"1099",3764
"1100",9954
"1101",4205
"1102",9515
"1103",798
"1104",10057
"1105",7898
"1106",8060
"1107",8931
"1108",5196
"1109",6948
"1110",7145
"1111",750
"1112",9359
"1113",8904
"1114",7206
"1115",10629
"1116",2738
"1117",5327
"1118",9774
"1119",6278
"1120",4398
"1121",10837
"1122",2844
"1123",1520
"1124",10814
"1125",7285
"1126",96
"1127",4243
"1128",6810
"1129",4145
"1130",8140
"1131",6297
"1132",1218
"1133",10530
"1134",2543
"1135",2374
"1136",8200
"1137",210
"1138",4036
"1139",9202
"1140",3287
"1141",10600
"1142",7280
"1143",591
"1144",7472
"1145",1543
"1146",819
"1147",7684
"1148",236
"1149",3626
"1150",7820
"1151",2740
"1152",7259
"1153",6739
"1154",363
"1155",6550
"1156",9766
"1157",7814
"1158",9364
"1159",5419
"1160",1518
"1161",3999
"1162",8002
"1163",7503
"1164",1554
"1165",5841
"1166",6128
"1167",9513
"1168",2026
"1169",7360
"1170",3400
"1171",9473
"1172",4567
"1173",3670
"1174",9566
"1175",1632
"1176",3901
"1177",1738
"1178",4635
"1179",7276
"1180",3006
"1181",10066
"1182",2498
"1183",6401
"1184",9873
"1185",10240
"1186",6364
"1187",7152
"1188",6780
"1189",2509
"1190",7880
"1191",8043
"1192",9933
"1193",1548
"1194",7363
"1195",2152
"1196",3591
"1197",1847
"1198",1770
"1199",6094
"1200",1728
"1201",2076
"1202",1052
"1203",10528
"1204",2345
"1205",1048
"1206",3431
"1207",1609
"1208",10546
"1209",7973
"1210",7060
"1211",1306
"1212",7952
"1213",8671
"1214",2934
"1215",1651
"1216",10002
"1217",6524
"1218",197
"1219",4988
"1220",7922
"1221",10833
"1222",2526
"1223",5843
"1224",8294
"1225",950
"1226",7134
"1227",8220
"1228",7282
"1229",1856
"1230",1280
"1231",5890
"1232",10101
"1233",7871
"1234",6480
"1235",8715
"1236",9437
"1237",4669
"1238",10686
"1239",10200
"1240",2886
"1241",9056
"1242",9660
"1243",3352
"1244",8784
"1245",1740
"1246",182
"1247",9320
"1248",8028
"1249",3506
"1250",9398
"1251",4468
"1252",961
"1253",5308
"1254",1893
"1255",8895
"1256",3818
"1257",4769
"1258",7354
"1259",5270
"1260",1485
"1261",8019
"1262",9280
"1263",3335
"1264",8493
"1265",4370
"1266",6870
"1267",1000
"1268",5104
"1269",6902
"1270",953
"1271",10444
"1272",10261
"1273",5397
"1274",498
"1275",4606
"1276",1804
"1277",10768
"1278",2938
"1279",7070
"1280",7364
"1281",10520
"1282",8212
"1283",7668
"1284",4572
"1285",10092
"1286",9438
"1287",9844
"1288",936
"1289",2538
"1290",8098
"1291",1412
"1292",8108
"1293",955
"1294",10354
"1295",3698
"1296",2079
"1297",9081
"1298",3590
"1299",4098
"1300",2016
"1301",9486
"1302",9038
"1303",5172
"1304",9450
"1305",6914
"1306",4928
"1307",9300
"1308",200
"1309",1891
"1310",3618
"1311",9728
"1312",5615
"1313",5508
"1314",5605
"1315",8588
"1316",9194
"1317",7068
"1318",3930
"1319",4650
"1320",4416
"1321",8180
"1322",4690
"1323",9994
"1324",6318
"1325",10348
"1326",7794
"1327",2657
"1328",9550
"1329",3250
"1330",9604
"1331",552
"1332",2602
"1333",7098
"1334",4729
"1335",876
"1336",3624
"1337",6718
"1338",10653
"1339",10398
"1340",6498
"1341",2095
"1342",8595
"1343",9492
"1344",3752
"1345",3439
"1346",2433
"1347",301
"1348",4674
"1349",5356
"1350",10682
"1351",6058
"1352",5069
"1353",2530
"1354",6638
"1355",7554
"1356",8505
"1357",2737
"1358",6267
"1359",992
"1360",832
"1361",3952
"1362",6472
"1363",4958
"1364",2819
"1365",6496
"1366",3556
"1367",532
"1368",6720
"1369",1344
"1370",4900
"1371",7730
"1372",4530
"1373",9350
"1374",1475
"1375",5353
"1376",4610
"1377",3916
"1378",10445
"1379",6644
"1380",6731
"1381",9792
"1382",6332
"1383",5644
"1384",4020
"1385",10749
"1386",7237
"1387",5750
"1388",6660
"1389",5398
"1390",9520
"1391",3314
"1392",5362
"1393",10100
"1394",6270
"1395",3882
"1396",10224
"1397",6684
"1398",1540
"1399",408
"1400",9096
"1401",9094
"1402",9909
"1403",2066
"1404",1042
"1405",9482
"1406",5867
"1407",3432
"1408",5930
"1409",311
"1410",3463
"1411",2413
"1412",5668
"1413",1685
"1414",1059
"1415",3332
"1416",4052
"1417",1212
"1418",2422
"1419",3442
"1420",658
"1421",5895
"1422",4128
"1423",5499
"1424",8466
"1425",5764
"1426",10236
"1427",4012
"1428",8860
"1429",339
"1430",2717
"1431",6464
"1432",10531
"1433",3763
"1434",8984
"1435",10732
"1436",9625
"1437",5056
"1438",10360
"1439",1573
"1440",10574
"1441",6413
"1442",78
"1443",2528
"1444",10402
"1445",4801
"1446",1979
"1447",6892
"1448",5822
"1449",1511
"1450",2788
"1451",10490
"1452",1559
"1453",2923
"1454",9898
"1455",3493
"1456",5980
"1457",6752
"1458",59
"1459",6613
"1460",1742
"1461",5181
"1462",2975
"1463",4073
"1464",5203
"1465",6769
"1466",2592
"1467",6026
"1468",8573
"1469",7940
"1470",624
"1471",6782
"1472",231
"1473",9594
"1474",3278
"1475",4450
"1476",10044
"1477",654
"1478",4100
"1479",1842
"1480",10394
"1481",4424
"1482",6682
"1483",6148
"1484",5520
"1485",4932
"1486",10496
"1487",316
"1488",3904
"1489",6277
"1490",8496
"1491",9542
"1492",8834
"1493",10018
"1494",6280
"1495",10277
"1496",7949
"1497",8866
"1498",3519
"1499",7862
"1500",7170
"1501",2184
"1502",10364
"1503",8390
"1504",3589
"1505",7682
"1506",3161
"1507",5131
"1508",9232
"1509",3265
"1510",3514
"1511",10564
"1512",7564
"1513",2147
"1514",6542
"1515",7732
"1516",4824
"1517",6661
"1518",7621
"1519",10107
"1520",5788
"1521",5779
"1522",2765
"1523",4427
"1524",6803
"1525",6947
"1526",2561
"1527",9706
"1528",4045
"1529",2697
"1530",7238
"1531",4095
"1532",6943
"1533",5812
"1534",1050
"1535",474
"1536",10013
"1537",8856
"1538",1184
"1539",2982
"1540",2745
"1541",5622
"1542",2836
"1543",7902
"1544",4817
"1545",2080
"1546",3168
"1547",10487
"1548",4156
"1549",10742
"1550",4074
"1551",1310
"1552",910
"1553",5621
"1554",4765
"1555",9368
"1556",1054
"1557",8330
"1558",7829
"1559",8933
"1560",395
"1561",9327
"1562",2562
"1563",2009
"1564",4244
"1565",8770
"1566",1759
"1567",5700
"1568",8830
"1569",9332
"1570",6827
"1571",3726
"1572",704
"1573",2878
"1574",2020
"1575",3622
"1576",9505
"1577",9235
"1578",5827
"1579",3809
"1580",5458
"1581",2149
"1582",6484
"1583",4454
"1584",3648
"1585",3098
"1586",3903
"1587",4316
"1588",6327
"1589",3011
"1590",6678
"1591",7226
"1592",8644
"1593",1250
"1594",5529
"1595",9744
"1596",2921
"1597",5382
"1598",10426
"1599",7986
"1600",784
"1601",9414
"1602",6307
"1603",4520
"1604",890
"1605",8272
"1606",1532
"1607",10733
"1608",10678
"1609",2568
"1610",10347
"1611",4768
"1612",40
"1613",10030
"1614",1512
"1615",9316
"1616",7076
"1617",2023
"1618",10830
"1619",8594
"1620",7994
"1621",620
"1622",874
"1623",10572
"1624",10582
"1625",9351
"1626",5859
"1627",5967
"1628",2274
"1629",7457
"1630",9294
"1631",8319
"1632",9014
"1633",8764
"1634",6226
"1635",10350
"1636",7440
"1637",8262
"1638",4300
"1639",8968
"1640",5928
"1641",7630
"1642",450
"1643",404
"1644",3876
"1645",150
"1646",1333
"1647",460
"1648",10058
"1649",2666
"1650",1594
"1651",9293
"1652",1262
"1653",1442
"1654",270
"1655",5951
"1656",4196
"1657",9046
"1658",6888
"1659",4624
"1660",9851
"1661",5392
"1662",10543
"1663",7231
"1664",3483
"1665",7265
"1666",148
"1667",9172
"1668",2453
"1669",1282
"1670",1676
"1671",7448
"1672",1926
"1673",4990
"1674",6196
"1675",10202
"1676",1036
"1677",9688
"1678",6754
"1679",274
"1680",8641
"1681",8368
"1682",228
"1683",1797
"1684",10230
"1685",8190
"1686",9444
"1687",9708
"1688",7320
"1689",1452
"1690",9074
"1691",7184
"1692",9623
"1693",9201
"1694",672
"1695",8949
"1696",4584
"1697",9540
"1698",8903
"1699",2852
"1700",9556
"1701",104
"1702",2957
"1703",9867
"1704",9619
"1705",5494
"1706",9813
"1707",8589
"1708",9974
"1709",3533
"1710",8440
"1711",2902
"1712",9790
"1713",1999
"1714",5826
"1715",1014
"1716",1552
"1717",8471
"1718",2802
"1719",240
"1720",5613
"1721",24
"1722",6376
"1723",5982
"1724",10212
"1725",5182
"1726",1472
"1727",4553
"1728",10262
"1729",10145
"1730",4780
"1731",7884
"1732",6235
"1733",5786
"1734",6580
"1735",4374
"1736",3610
"1737",7444
"1738",9937
"1739",10285
"1740",8158
"1741",5386
"1742",4404
"1743",3802
"1744",6418
"1745",6727
"1746",4784
"1747",7681
"1748",9672
"1749",6552
"1750",6521
"1751",8640
"1752",3396
"1753",6224
"1754",3675
"1755",4644
"1756",9547
"1757",9760
"1758",663
"1759",9186
"1760",9662
"1761",758
"1762",3383
"1763",9187
"1764",7441
"1765",9404
"1766",1849
"1767",5404
"1768",7030
"1769",3786
"1770",7596
"1771",9006
"1772",9715
"1773",7087
"1774",84
"1775",4359
"1776",2519
"1777",7978
"1778",3684
"1779",5256
"1780",3202
"1781",1111
"1782",6284
"1783",537
"1784",6442
"1785",5418
"1786",8069
"1787",465
"1788",10335
"1789",226
"1790",6098
"1791",5742
"1792",1476
"1793",9461
"1794",8202
"1795",5752
"1796",5506
"1797",8464
"1798",10541
"1799",5050
"1800",3210
"1801",10424
"1802",10802
"1803",2478
"1804",2620
"1805",2574
"1806",858
"1807",2108
"1808",9575
"1809",2516
"1810",3797
"1811",2798
"1812",2619
"1813",3616
"1814",7552
"1815",8076
"1816",5820
"1817",3187
"1818",4566
"1819",2542
"1820",7295
"1821",10786
"1822",4412
"1823",3271
"1824",10368
"1825",7812
"1826",4325
"1827",8282
"1828",5350
"1829",3731
"1830",9735
"1831",6004
"1832",6090
"1833",9748
"1834",6569
"1835",3092
"1836",3896
"1837",3984
"1838",4898
"1839",5977
"1840",2882
"1841",9193
"1842",8479
"1843",2524
"1844",2189
"1845",8205
"1846",10492
"1847",8324
"1848",5416
"1849",816
"1850",5490
"1851",9369
"1852",2608
"1853",4943
"1854",4169
"1855",6362
"1856",183
"1857",296
"1858",1576
"1859",5046
"1860",4090
"1861",2390
"1862",7936
"1863",6476
"1864",6509
"1865",6821
"1866",5889
"1867",6149
"1868",544
"1869",5855
"1870",9864
"1871",4174
"1872",1214
"1873",8484
"1874",8857
"1875",5958
"1876",4411
"1877",4421
"1878",3502
"1879",2758
"1880",6001
"1881",8659
"1882",469
"1883",4304
"1884",9136
"1885",12
"1886",8198
"1887",6456
"1888",4534
"1889",6303
"1890",9127
"1891",4187
"1892",2780
"1893",6706
"1894",10810
"1895",6388
"1896",7686
"1897",8086
"1898",8772
"1899",8302
"1900",146
"1901",2838
"1902",2695
"1903",5072
"1904",1921
"1905",5372
"1906",5924
"1907",3597
"1908",8248
"1909",4055
"1910",3964
"1911",8515
"1912",4458
"1913",7613
"1914",8255
"1915",5549
"1916",562
"1917",3012
"1918",4580
"1919",5320
"1920",1114
"1921",7432
"1922",5184
"1923",3399
"1924",77
"1925",3255
"1926",9673
"1927",2729
"1928",4044
"1929",3246
"1930",3787
"1931",5230
"1932",2204
"1933",566
"1934",5995
"1935",2626
"1936",6854
"1937",5541
"1938",4026
"1939",5880
"1940",8789
"1941",7762
"1942",1614
"1943",9262
"1944",3285
"1945",10029
"1946",5526
"1947",6374
"1948",7523
"1949",7660
"1950",8422
"1951",10301
"1952",10791
"1953",10634
"1954",406
"1955",690
"1956",2208
"1957",6582
"1958",6794
"1959",5706
"1960",3325
"1961",6653
"1962",3796
"1963",6880
"1964",4461
"1965",10193
"1966",6560
"1967",8432
"1968",9940
"1969",1247
"1970",6272
"1971",6587
"1972",4364
"1973",5801
"1974",2706
"1975",7164
"1976",2897
"1977",6673
"1978",5126
"1979",2138
"1980",8616
"1981",9500
"1982",94
"1983",3914
"1984",5720
"1985",7693
"1986",9068
"1987",6792
"1988",5845
"1989",8327
"1990",6184
"1991",2421
"1992",1166
"1993",8250
"1994",1956
"1995",6668
"1996",5992
"1997",4622
"1998",766
"1999",7376
"2000",5618
"2001",8538
"2002",2958
"2003",7694
"2004",5282
"2005",3692
"2006",396
"2007",10280
"2008",5749
"2009",3224
"2010",4314
"2011",7592
"2012",8318
"2013",9990
"2014",2130
"2015",22
"2016",440
"2017",2284
"2018",4703
"2019",4920
"2020",3261
"2021",10073
"2022",8228
"2023",10731
"2024",326
"2025",8951
"2026",7618
"2027",1246
"2028",8027
"2029",7025
"2030",5572
"2031",6013
"2032",3153
"2033",2142
"2034",9709
"2035",2454
"2036",10484
"2037",9875
"2038",2525
"2039",9464
"2040",8268
"2041",2807
"2042",5984
"2043",7787
"2044",8852
"2045",5578
"2046",4822
"2047",10556
"2048",4912
"2049",10706
"2050",8804
"2051",10545
"2052",3024
"2053",1773
"2054",6348
"2055",6612
"2056",10478
"2057",1664
"2058",5642
"2059",3770
"2060",318
"2061",7612
"2062",7860
"2063",3753
"2064",6275
"2065",9996
"2066",7149
"2067",6847
"2068",8590
"2069",397
"2070",2532
"2071",6828
"2072",1992
"2073",7834
"2074",4474
"2075",370
"2076",1526
"2077",7003
"2078",4206
"2079",348
"2080",10076
"2081",6627
"2082",7867
"2083",978
"2084",6968
"2085",4814
"2086",10357
"2087",9724
"2088",998
"2089",8900
"2090",5844
"2091",10864
"2092",9930
"2093",5569
"2094",5451
"2095",8527
"2096",9197
"2097",4956
"2098",1582
"2099",9973
"2100",9796
"2101",214
"2102",2336
"2103",9985
"2104",7970
"2105",4276
"2106",2792
"2107",10550
"2108",7014
"2109",7818
"2110",8420
"2111",1974
"2112",6475
"2113",6211
"2114",2218
"2115",8983
"2116",8329
"2117",132
"2118",2126
"2119",5232
"2120",9118
"2121",3768
"2122",5076
"2123",5718
"2124",726
"2125",5292
"2126",2682
"2127",6954
"2128",9091
"2129",5573
"2130",8433
"2131",7667
"2132",7775
"2133",7034
"2134",3326
"2135",7856
"2136",4023
"2137",7663
"2138",9653
"2139",1943
"2140",9521
"2141",388
"2142",1264
"2143",1364
"2144",5833
"2145",3126
"2146",5632
"2147",2690
"2148",7704
"2149",7865
"2150",367
"2151",5301
"2152",5893
"2153",8592
"2154",2137
"2155",2022
"2156",3606
"2157",3934
"2158",5608
"2159",5884
"2160",4319
"2161",5047
"2162",1338
"2163",2629
"2164",8442
"2165",3156
"2166",8150
